symbol,name
MUTHOOTFIN,Muthoot Finance Ltd
SBICARD,SBI Cards and Payment Services Ltd
POWERGRID,Power Grid Corporation of India Ltd
RBLBANK,RBL Bank Ltd
ICICIGI,ICICI Lombard General Insurance Co Ltd
JUBLFOOD,Jubilant FoodWorks Ltd
BAJAJFINSV,Bajaj Finserv Ltd
HINDALCO,Hindalco Industries Ltd
NESTLEIND,Nestle India Ltd
NAUKRI,Info Edge (India) Ltd
HEROMOTOCO,Hero Motocorp Ltd
LICI,Life Insurance Corporation of India
CONCOR,Container Corporation of India Ltd
TITAN,Titan Company Ltd
TATASTEEL,Tata Steel Ltd
HINDUNILVR,Hindustan Unilever Ltd
AUROPHARMA,Aurobindo Pharma Ltd
HDFCBANK,HDFC Bank Ltd
ITC,ITC Ltd
NYKAA,Fsn E-Commerce Ventures Ltd
BAJAJHLDNG,Bajaj Holdings And Investment Ltd
HUDCO,Housing And Urban Development Corp Ltd
NUVAMA,Nuvama Wealth Management Ltd
KALYANKJIL,Kalyan Jewellers India Ltd
FORTIS,Fortis Healthcare Ltd
PAGEIND,Page Industries Ltd
LAURUSLABS,Laurus Labs Ltd
UNITDSPR,United Spirits Ltd
BLUESTARCO,Blue Star Ltd
SAIL,Steel Authority of India Ltd
HDFCLIFE,HDFC Life Insurance Company Ltd
APLAPOLLO,Apl Apollo Tubes Ltd
BSE,BSE Ltd
BRITANNIA,Britannia Industries Ltd
JIOFIN,Jio Financial Services Ltd
M&M,Mahindra And Mahindra Ltd
KEI,KEI Industries Ltd
AXISBANK,Axis Bank Ltd
TATATECH,Tata Technologies Ltd
ULTRACEMCO,UltraTech Cement Ltd
MARUTI,Maruti Suzuki India Ltd
UNOMINDA,UNO Minda Ltd
PFC,Power Finance Corporation Ltd
EXIDEIND,Exide Industries Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
MAXHEALTH,Max Healthcare Institute Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
LTF,L&T Finance Ltd
CDSL,Central Depository Services (India) Ltd
KAYNES,Kaynes Technology India Ltd
TATACONSUM,Tata Consumer Products Ltd
BAJFINANCE,Bajaj Finance Ltd
HDFCAMC,HDFC Asset Management Company Ltd
INDIGO,Interglobe Aviation Ltd
ADANIPORTS,Adani Ports and Special Economic Zone Ld
GODREJCP,Godrej Consumer Products Limited
INDHOTEL,Indian Hotels Company Ltd
COALINDIA,Coal India Ltd
PGEL,PG Electroplast Ltd
CHOLAFIN,Cholamandalam Investment and Fin Co Ltd
ZYDUSLIFE,Zydus Lifesciences Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
AMBUJACEM,Ambuja Cements Ltd
RECLTD,REC Limited
BOSCHLTD,Bosch Ltd
BAJAJ-AUTO,Bajaj Auto Ltd
IDEA,Vodafone Idea Ltd
SUPREMEIND,Supreme Industries Ltd
TMPV,Tata Motors Passenger Vhcls Ltd
BHARTIARTL,Bharti Airtel Ltd
PREMIERENE,Premier Energies Ltd
MANAPPURAM,Manappuram Finance Ltd
MCX,Multi Commodity Exchange Of India Ltd
PIIND,PI Industries Ltd
SHRIRAMFIN,Shriram Finance Ltd
GMRAIRPORT,GMR Airports Ltd
UPL,UPL Ltd
ASTRAL,Astral Ltd
MOTHERSON,Samvardhana Motherson International Ltd
PATANJALI,Patanjali Foods Ltd
NMDC,NMDC Ltd
VBL,Varun Beverages Ltd
JSWENERGY,JSW Energy Ltd
NBCC,NBCC (India) Ltd
PPLPHARMA,Piramal Pharma Ltd
MANKIND,Mankind Pharma Ltd
IRFC,Indian Railway Finance Corp Ltd
ICICIBANK,ICICI Bank Ltd
TATAPOWER,Tata Power Company Ltd
IRCTC,Indian Railway Ctrng nd Trsm Corp Ltd
TIINDIA,Tube Investments of India Ltd
GLENMARK,Glenmark Pharmaceuticals Ltd
TORNTPOWER,Torrent Power Ltd
OBEROIRLTY,Oberoi Realty Ltd
WAAREEENER,Waaree Energies Ltd
ADANIENT,Adani Enterprises Ltd
SOLARINDS,Solar Industries India Ltd
ADANIENSOL,Adani Energy Solutions Ltd
SUZLON,Suzlon Energy Ltd
RVNL,Rail Vikas Nigam Ltd
PRESTIGE,Prestige Estates Projects Limited
AMBER,Amber Enterprises India Ltd
CROMPTON,Crompton Greaves Consumer Electricls Ltd
LODHA,Lodha Developers Ltd
CAMS,Computer Age Management Services Ltd
NTPC,NTPC Ltd
ADANIGREEN,Adani Green Energy Ltd
DLF,DLF Ltd
DELHIVERY,Delhivery
IREDA,Indian Renewable Energy Dev Agency Ltd
ANGELONE,Angel One Ltd
CGPOWER,CG Power and Industrial Solutions Ltd
INOXWIND,Inox Wind Ltd
360ONE,360 One Wam Ltd
GODREJPROP,Godrej Properties Ltd
POWERINDIA,Hitachi Energy India Ltd
IEX,Indian Energy Exchange Ltd
