NUVOCO,Nuvoco Vistas Corporation Ltd
SUMICHEM,Sumitomo Chemical India Ltd
RRKABEL,R R Kabel Ltd
GODREJAGRO,Godrej Agrovet Ltd
GAIL,Gail (India) Ltd
BBTC,"Bombay Burmah Trading Corporation, Ltd"
INDUSINDBK,Indusind Bank Ltd
IOB,Indian Overseas Bank
PFIZER,Pfizer Ltd
APTUS,Aptus Value Housing Finance India Ltd
VOLTAS,Voltas Ltd
RBLBANK,RBL Bank Ltd
MCX,Multi Commodity Exchange Of India Ltd
LTM,LTM Ltd
GRANULES,Granules India Ltd
TATACONSUM,Tata Consumer Products Ltd
NUVAMA,Nuvama Wealth Management Ltd
IOC,Indian Oil Corporation Ltd
NAVA,Nava Limited
GMDCLTD,Gujarat Mineral Development Corpn Ltd
PNBHOUSING,PNB Housing Finance Ltd.
BEML,BEML Ltd
EMAMILTD,Emami Ltd
KAYNES,Kaynes Technology India Ltd
TCS,Tata Consultancy Services Ltd
NMDC,NMDC Ltd
NAVINFLUOR,Navin Fluorine International Limited
LLOYDSME,Lloyds Metals And Energy Ltd
EMCURE,Emcure Pharmaceuticals Ltd
M&M,Mahindra And Mahindra Ltd
ZEEL,Zee Entertainment Enterprises Ltd
JSWSTEEL,JSW Steel Ltd
UCOBANK,UCO Bank
CENTRALBK,Central Bank of India Ltd
CHALET,Chalet Hotels Ltd
PGHH,Procter & Gamble Hygiene & Health Care
DEVYANI,Devyani International Ltd
GRAPHITE,Graphite India Ltd
ERIS,Eris Lifesciences Ltd
HAL,Hindustan Aeronautics Ltd
HONASA,Honasa Consumer Ltd
BANDHANBNK,Bandhan Bank Ltd
EIDPARRY,E I D-Parry (India) Ltd
SCHNEIDER,Schneider Electric Infrastructure Ltd
MARICO,Marico Ltd
PAYTM,One 97 Communications Ltd
DABUR,Dabur India Ltd
SHREECEM,Shree Cement Ltd
NH,Narayana Hrudayalaya Ltd
CASTROLIND,Castrol India Ltd
J&KBANK,Jammu and Kashmir Bank Ltd
INFY,Infosys Ltd
DRREDDY,Dr Reddy's Laboratories Ltd
MPHASIS,Mphasis Ltd
AGARWALEYE,Dr. Agarwal's Health Care Ltd
ENGINERSIN,Engineers India Ltd
WELCORP,Welspun Corp Ltd
MAHSEAMLES,Maharashtra Seamless Ltd
NETWEB,Netweb Technologies India Ltd
DALBHARAT,Dalmia Bharat Ltd
EICHERMOT,Eicher Motors Ltd
LATENTVIEW,Latent View Analytics Ltd
SHYAMMETL,Shyam Metalics and Energy Ltd
MOTILALOFS,Motilal Oswal Financial Services Ltd
THELEELA,Leela Palaces Hotels & Resorts Ltd
LINDEINDIA,Linde India Ltd
CHOLAFIN,Cholamandalam Investment and Fin Co Ltd
KFINTECH,Kfin Technologies Ltd
JMFINANCIL,JM Financial Ltd
WIPRO,Wipro Ltd
VMM,Vishal Mega Mart Ltd
UNITDSPR,United Spirits Ltd
LTF,L&T Finance Ltd
RAMCOCEM,Ramco Cements Limited
VBL,Varun Beverages Ltd
PIDILITIND,Pidilite Industries Ltd
FINCABLES,Finolex Cables Ltd
IFCI,IFCI Ltd
PGEL,PG Electroplast Ltd
COROMANDEL,Coromandel International Ltd
MANYAVAR,Vedant Fashions Ltd
PHOENIXLTD,Phoenix Mills Ltd
POLYMED,Poly Medicure Ltd.
ADANIPOWER,Adani Power Ltd
TITAN,Titan Company Ltd
KPITTECH,KPIT Technologies Ltd
BALRAMCHIN,Balrampur Chini Mills Ltd
VTL,Vardhman Textiles Ltd
CCL,CCL Products (India) Ltd
TBOTEK,Tbo Tek Ltd
BAYERCROP,Bayer CropScience Ltd
OLAELEC,Ola Electric Mobility Ltd
OFSS,Oracle Financial Services Software Ltd
GODREJCP,Godrej Consumer Products Limited
ICICIGI,ICICI Lombard General Insurance Co Ltd
INTELLECT,Intellect Design Arena Ltd
RELIANCE,Reliance Industries Ltd
SONACOMS,Sona Blw Precision Forgings Ltd
IDFCFIRSTB,IDFC First Bank Ltd
RPOWER,Reliance Power Ltd
JUBLFOOD,Jubilant FoodWorks Ltd
TATASTEEL,Tata Steel Ltd
DIVISLAB,Divi's Laboratories Ltd
BAJAJ-AUTO,Bajaj Auto Ltd
FORTIS,Fortis Healthcare Ltd
DMART,Avenue Supermarts Ltd
GRAVITA,Gravita India Limited
TECHNOE,Techno Electric & Engineering Cmpany Ltd
CAPLIPOINT,Caplin Point Laboratories Ltd
COALINDIA,Coal India Ltd
MUTHOOTFIN,Muthoot Finance Ltd
JYOTICNC,Jyoti CNC Automation Ltd
JINDALSTEL,Jindal Steel Ltd
TITAGARH,Titagarh Rail Systems Ltd
BIOCON,Biocon Ltd
BLS,BLS International Services Ltd
CRISIL,Crisil Ltd
CESC,CESC Ltd
BHARTIARTL,Bharti Airtel Ltd
ALKEM,Alkem Laboratories Ltd
MAHSCOOTER,Maharashtra Scooters Ltd
CIPLA,Cipla Ltd
TATATECH,Tata Technologies Ltd
RCF,Rashtriya Chemicals and Fertilizers Ltd
BHARATFORG,Bharat Forge Ltd
ZENSARTECH,Zensar Technologies Ltd
PTCIL,PTC Industries Ltd
BAJAJFINSV,Bajaj Finserv Ltd
AADHARHFC,Aadhar Housing Finance Ltd
MANAPPURAM,Manappuram Finance Ltd
CDSL,Central Depository Services (India) Ltd
TORNTPOWER,Torrent Power Ltd
KAJARIACER,Kajaria Ceramics Ltd
NESTLEIND,Nestle India Ltd
LTTS,L&T Technology Services Ltd
BALKRISIND,Balkrishna Industries Ltd
HINDPETRO,Hindustan Petroleum Corp Ltd
GRASIM,Grasim Industries Ltd
PCBL,PCBL Chemical Ltd
SBILIFE,Sbi Life Insurance Company Ltd
M&MFIN,Mahindra and Mahindra Financial Svcs Ltd
SUPREMEIND,Supreme Industries Ltd
SBICARD,SBI Cards and Payment Services Ltd
AIAENG,AIA Engineering Ltd
RVNL,Rail Vikas Nigam Ltd
RECLTD,REC Limited
UPL,UPL Ltd
PIIND,PI Industries Ltd
JINDALSAW,Jindal SAW Ltd
EIHOTEL,EIH Ltd
BOSCHLTD,Bosch Ltd
ANANTRAJ,Anant Raj Ltd
KEI,KEI Industries Ltd
FIVESTAR,Five-Star Business Finance Ltd
ITCHOTELS,ITC Hotels Ltd
HDFCLIFE,HDFC Life Insurance Company Ltd
SCI,Shipping Corporation of India Ltd
CREDITACC,CreditAccess Grameen Ltd
KALYANKJIL,Kalyan Jewellers India Ltd
NBCC,NBCC (India) Ltd
AUROPHARMA,Aurobindo Pharma Ltd
PREMIERENE,Premier Energies Ltd
CEATLTD,CEAT Ltd
AJANTPHARM,Ajanta Pharma Ltd
JIOFIN,Jio Financial Services Ltd
SYNGENE,Syngene International Ltd
GPIL,Godawari Power and Ispat Limited
JUBLPHARMA,Jubilant Pharmova Ltd
ITC,ITC Ltd
ASTERDM,Aster DM Healthcare Ltd
GUJGASLTD,Gujarat Gas Ltd
WHIRLPOOL,Whirlpool Of India Ltd
SBFC,SBFC Finance Ltd
BSOFT,Birlasoft Ltd
SUNDRMFAST,Sundram Fasteners Ltd
CHENNPETRO,Chennai Petroleum Corporation Ltd
MRF,MRF Ltd
PAGEIND,Page Industries Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd Fully Paid Ord. Shrs
OLECTRA,Olectra Greentech Ltd
ACC,ACC Ltd
CGPOWER,CG Power and Industrial Solutions Ltd
NAUKRI,Info Edge (India) Ltd
UNOMINDA,UNO Minda Ltd
CLEAN,Clean Science and Technology Ltd
NTPCGREEN,NTPC Green Energy Ltd
AXISBANK,Axis Bank Ltd
ELGIEQUIP,ELGI Equipments Ltd
LAURUSLABS,Laurus Labs Ltd
NYKAA,Fsn E-Commerce Ventures Ltd
CHOICEIN,Choice International Ltd
GODIGIT,Go Digit General Insurance Ltd
HINDALCO,Hindalco Industries Ltd
MFSL,Max Financial Services Ltd
ITI,ITI Ltd
CYIENT,Cyient Ltd
DEEPAKFERT,Deepak Frtlsrs and Ptrchmcls Corp Ltd
PFC,Power Finance Corporation Ltd
MAXHEALTH,Max Healthcare Institute Ltd
HONAUT,Honeywell Automation India Ltd
NIACL,New India Assurance Company Ltd
CENTURYPLY,Century Plyboards (India) Ltd
JPPOWER,Jaiprakash Power Ventures Ltd
ANANDRATHI,Anand Rathi Wealth Ltd
SAREGAMA,Saregama India Ltd
TIMKEN,Timken India Ltd
IRFC,Indian Railway Finance Corp Ltd
LICI,Life Insurance Corporation of India
TMPV,Tata Motors Passenger Vhcls Ltd
HINDUNILVR,Hindustan Unilever Ltd
HDFCAMC,HDFC Asset Management Company Ltd
IKS,Inventurus Knowledge Solutions Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
AMBUJACEM,Ambuja Cements Ltd
APARINDS,Apar Industries Ltd
INDHOTEL,Indian Hotels Company Ltd
PERSISTENT,Persistent Systems Ltd
TIINDIA,Tube Investments of India Ltd
POLYCAB,Polycab India Ltd
ESCORTS,Escorts Kubota Ltd
SRF,SRF Ltd
HSCL,Himadri Speciality Chemical Ltd
JBCHEPHARM,J B Chemicals and Pharmaceuticals Ltd
ENDURANCE,Endurance Technologies Ltd
AFFLE,Affle 3i Ltd
AWL,AWL Agri Business Ltd
ATGL,Adani Total Gas Ltd
JSWINFRA,JSW Infrastructure Ltd
VGUARD,V Guard Industries Ltd
ADANIENSOL,Adani Energy Solutions Ltd
CAMS,Computer Age Management Services Ltd
AARTIIND,Aarti Industries Ltd
ASTRAL,Astral Ltd
LUPIN,Lupin Ltd
HBLENGINE,HBL Engineering Ltd
SAGILITY,Sagility Ltd
NSLNISP,NMDC Steel Ltd
SUZLON,Suzlon Energy Ltd
TRENT,Trent Ltd
ZENTEC,Zen Technologies Limited
PATANJALI,Patanjali Foods Ltd
INOXWIND,Inox Wind Ltd
CONCOR,Container Corporation of India Ltd
APLAPOLLO,Apl Apollo Tubes Ltd
ECLERX,eClerx Services Limited
TATACOMM,Tata Communications Ltd
DCMSHRIRAM,DCM Shriram Ltd
UTIAMC,UTI Asset Management Company Ltd
ULTRACEMCO,UltraTech Cement Ltd
CROMPTON,Crompton Greaves Consumer Electricls Ltd
EXIDEIND,Exide Industries Ltd
IPCALAB,IPCA Laboratories Ltd
IGL,Indraprastha Gas Limited
ARE&M,Amara Raja Energy & Mobility Ltd
APOLLOTYRE,Apollo Tyres Ltd
ABLBL,Aditya Birla Lifestyle Brands Ltd
HDFCBANK,HDFC Bank Ltd
GMRAIRPORT,GMR Airports Ltd
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd
MARUTI,Maruti Suzuki India Ltd
BHARTIHEXA,Bharti Hexacom Ltd
BERGEPAINT,Berger Paints India Ltd
JWL,Jupiter Wagons Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
VIJAYA,Vijaya Diagnostic Centre Ltd
INDIGO,Interglobe Aviation Ltd
SHRIRAMFIN,Shriram Finance Ltd
BATAINDIA,Bata India Ltd
BLUEDART,Blue Dart Express Ltd
JBMA,Jbm Auto Ltd
MGL,Mahanagar Gas Ltd
CARBORUNIV,Carborundum Universal Ltd
FINPIPE,Finolex Industries Ltd
MAPMYINDIA,CE Info Systems Ltd
SAIL,Steel Authority of India Ltd
HFCL,HFCL Ltd
JSWENERGY,JSW Energy Ltd
RKFORGE,Ramkrishna Forgings Ltd
INOXINDIA,INOX India Ltd
RAINBOW,Rainbow Children's Medicare Ltd
JYOTHYLAB,Jyothy Labs Ltd
DIXON,Dixon Technologies (India) Ltd
IRCTC,Indian Railway Ctrng nd Trsm Corp Ltd
KARURVYSYA,Karur Vysya Bank Ltd
AKUMS,Akums Drugs and Pharmaceuticals Ltd
ZYDUSLIFE,Zydus Lifesciences Ltd
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
KPIL,Kalpataru Projects International Ltd
INDGN,Indegene Ltd
TTML,Tata Teleservices (Maharashtra) Ltd
FSL,Firstsource Solutions Ltd
HEROMOTOCO,Hero Motocorp Ltd
DEEPAKNTR,Deepak Nitrite Ltd
JUBLINGREA,Jubilant Ingrevia Ltd
IRB,Irb Infrastructure Developers Ltd
IREDA,Indian Renewable Energy Dev Agency Ltd
BAJAJHLDNG,Bajaj Holdings And Investment Ltd
RHIM,RHI Magnesita India Ltd
CONCORDBIO,Concord Biotech Ltd
DBREALTY,Valor Estate Ltd
AKZOINDIA,JSW Dulux Ltd
MRPL,Mangalore Refinery and Petrochmcls Ltd
TATACHEM,Tata Chemicals Ltd
GLAND,Gland Pharma Ltd
BASF,BASF India Ltd
GLENMARK,Glenmark Pharmaceuticals Ltd
ASAHIINDIA,Asahi India Glass Ltd
ADANIGREEN,Adani Green Energy Ltd
MOTHERSON,Samvardhana Motherson International Ltd
GILLETTE,Gillette India Ltd
ONESOURCE,Onesource Specialty Pharma Ltd
BIKAJI,Bikaji Foods International Ltd
KIRLOSBROS,Kirloskar Brothers Ltd
APLLTD,Alembic Pharmaceuticals Ltd
POLICYBZR,PB Fintech Ltd
MMTC,MMTC Ltd
RITES,Rites Ltd
METROPOLIS,Metropolis Healthcare Ltd
DELHIVERY,Delhivery
PPLPHARMA,Piramal Pharma Ltd
BAJAJHFL,Bajaj Housing Finance Ltd
RAILTEL,Railtel Corporation of India Ltd
BRIGADE,Brigade Enterprises Limited
TATAINVEST,Tata Investment Corporation Ltd
AMBER,Amber Enterprises India Ltd
GSPL,Gujarat State Petronet Ltd
NTPC,NTPC Ltd
FACT,Fertilisers And Chemicals Travancore Ltd
TRIVENI,Triveni Engineering and Industries Ltd
WOCKPHARMA,Wockhardt Ltd
THERMAX,Thermax Limited
AIIL,Authum Investment & Infrastructure Ltd
PVRINOX,PVR INOX Ltd
SARDAEN,Sarda Energy & Minerals Ltd
INDIAMART,IndiaMART InterMESH Ltd
GODFRYPHLP,Godfrey Phillips India Ltd
SCHAEFFLER,Schaeffler India Ltd
HAPPSTMNDS,Happiest Minds Technologies Ltd
JSWCEMENT,JSW Cement Ltd
TATAPOWER,Tata Power Company Ltd
HEG,HEG Ltd
SJVN,SJVN Ltd
ABBOTINDIA,Abbott India Ltd
CERA,Cera Sanitaryware Ltd
GODREJIND,Godrej Industries Ltd
AAVAS,Aavas Financiers Ltd
IGIL,International Gemmological Ins India Ltd
NCC,NCC Ltd
GICRE,General Insurance Corporation of India
ASTRAZEN,Astrazeneca Pharma India Ltd
WELSPUNLIV,Welspun Living Ltd
ABREL,Aditya Birla Real Estate Ltd
FLUOROCHEM,Gujarat Fluorochemicals Ltd
3MINDIA,3M India Ltd
UBL,United Breweries Ltd
FIRSTCRY,Brainbees Solutions Ltd
ADANIPORTS,Adani Ports and Special Economic Zone Ld
ZFCVINDIA,ZF Commercial Vehl Cntrl Sytm India Ltd
AEGISLOG,Aegis Logistics Ltd
ATUL,Atul Ltd
WAAREEENER,Waaree Energies Ltd
HOMEFIRST,Home First Finance Company India Ltd
CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd
ALOKINDS,Alok Industries Ltd
ICICIBANK,ICICI Bank Ltd
ANGELONE,Angel One Ltd
NEWGEN,Newgen Software Technologies Ltd
ADANIENT,Adani Enterprises Ltd
DLF,DLF Ltd
OBEROIRLTY,Oberoi Realty Ltd
SONATSOFTW,Sonata Software Ltd
IRCON,Ircon International Ltd
TRITURBINE,Triveni Turbine Ltd
ENRIN,Siemens Energy India Ltd
SUNTV,Sun Tv Network Ltd
JKCEMENT,J K Cement Ltd
PRESTIGE,Prestige Estates Projects Limited
PRAJIND,Praj Industries Ltd
RADICO,Radico Khaitan Ltd
360ONE,360 One Wam Ltd
NAM-INDIA,Nippon Life India Asset Management Ltd
MANKIND,Mankind Pharma Ltd
REDINGTON,Redington Ltd
ACE,Action Construction Equipment Ltd
LALPATHLAB,Dr. Lal PathLabs Ltd
AFCONS,Afcons Infrastructure Limited
DOMS,Doms Industries Ltd
FORCEMOT,Force Motors Ltd
SAILIFE,Sai Life Sciences Ltd
TEJASNET,Tejas Networks Ltd
SYRMA,Syrma SGS Technology Ltd
ATHERENERG,Ather Energy Ltd
ACMESOLAR,Acme Solar Holdings Ltd
LODHA,Lodha Developers Ltd
BLUEJET,Blue Jet Healthcare Ltd
USHAMART,Usha Martin Ltd
NIVABUPA,Niva Bupa Health Insurance Company Ltd
INDIACEM,India Cements Ltd
KPRMILL,KPR Mill Ltd
JSL,Jindal Stainless Ltd
COHANCE,Cohance Lifesciences Ltd
TRIDENT,Trident Ltd
ALKYLAMINE,Alkyl Amines Chemicals Ltd
SOBHA,Sobha Ltd
GODREJPROP,Godrej Properties Ltd
POWERINDIA,Hitachi Energy India Ltd
HYUNDAI,Hyundai Motor India Ltd
GVT&D,GE Vernova T&D India Ltd
HEXT,Hexaware Technologies Ltd
ELECON,Elecon Engineering Company Ltd
